County Name,Total Population (2018),Total Population (2019),Total Population (2020),Hispanic Population (2018),Hispanic Population (2019),Hispanic Population (2020),White Population (2018),White Population (2019),White Population (2020),Black Population (2018),Black Population (2019),Black Population (2020),Asian Population (2018),Asian Population (2019),Asian Population (2020),Native American Population (2018),Native American Population (2019),Native American Population (2020),Pacific Islander Population (2018),Pacific Islander Population (2019),Pacific Islander Population (2020),Other Race Population (2018),Other Race Population (2019),Other Race Population (2020)
Alcona County,"10,364","10,353","10,396",149,155,166,"10,048","10,028","10,027",40,41,44,29,20,36,58,63,73,8,7,2,24,35,49
Alger County,"9,194","9,151","9,098",137,144,153,"7,807","7,773","7,658",692,702,632,14,13,71,320,334,359,0,0,0,13,5,42
Allegan County,"115,250","116,143","117,104","8,392","8,532","8,734","107,953","108,625","108,022","1,701","1,569","1,472",781,802,835,558,398,437,23,12,0,"1,833","1,774","1,951"
Alpena County,"28,612","28,520","28,431",382,393,411,"27,720","27,603","27,308",149,165,165,141,176,142,152,103,96,20,37,32,31,44,113
Antrim County,"23,177","23,206","23,301",517,543,546,"22,256","22,292","22,323",86,103,101,73,82,93,176,182,149,0,0,0,200,193,123
Arenac County,"15,165","15,070","15,013",301,304,304,"14,597","14,500","14,390",89,62,66,55,55,33,190,198,197,0,0,4,20,20,16
Baraga County,"8,507","8,421","8,337",132,134,139,"6,246","6,181","6,138",861,783,722,42,34,40,775,842,853,2,5,1,36,38,21
Barry County,"60,057","60,540","61,045","1,714","1,786","1,896","57,803","58,329","58,377",295,415,388,333,364,394,163,222,150,3,4,4,447,362,467
Bay County,"104,786","104,104","103,506","5,503","5,548","5,703","99,253","98,568","97,122","1,779","1,796","1,566",631,606,584,410,362,288,0,0,76,367,377,432
Benzie County,"17,552","17,615","17,703",435,441,443,"16,836","16,863","16,819",67,32,56,78,76,78,293,304,302,7,10,11,11,10,72
Berrien County,"154,807","154,133","153,797","8,340","8,449","8,632","121,688","121,313","119,862","22,829","22,561","21,883","3,095","2,931","2,517",619,621,651,38,27,8,"1,809","1,847","2,137"
Branch County,"43,584","43,513","43,428","2,019","2,071","2,168","40,923","40,858","40,302",990,"1,032",908,283,342,226,180,187,186,17,15,14,484,400,532
Calhoun County,"134,473","134,212","133,943","6,885","7,031","7,272","110,011","109,110","107,831","14,321","14,148","13,946","3,095","3,233","3,155",939,740,556,20,16,7,646,924,"1,254"
Cass County,"51,460","51,523","51,613","1,949","2,002","2,044","45,663","45,779","45,532","2,549","2,666","2,609",434,431,441,577,555,527,21,0,0,549,535,846
Charlevoix County,"26,219","26,188","26,197",504,523,563,"24,945","24,951","24,880",140,122,136,110,129,97,388,410,377,22,16,11,83,23,77
Cheboygan County,"25,458","25,418","25,435",351,366,385,"23,741","23,683","23,484",220,205,149,101,111,115,431,527,461,0,0,3,22,52,48
Chippewa County,"37,834","37,629","37,418",702,709,729,"26,848","26,615","25,809","2,505","2,265","2,045",361,372,354,"5,428","5,342","5,047",60,35,76,31,32,227
Clare County,"30,616","30,651","30,655",592,617,643,"29,477","29,488","29,462",186,190,188,111,36,29,163,201,194,0,0,0,83,100,105
Clinton County,"77,896","78,389","78,957","3,506","3,554","3,658","73,107","73,354","72,854","1,360","1,442","1,475","1,224","1,183","1,082",138,128,97,0,0,0,193,348,667
Crawford County,"13,836","13,892","13,904",265,279,289,"13,291","13,337","13,295",84,103,44,123,129,115,70,42,39,0,0,0,75,61,76
Delta County,"36,190","36,026","35,874",461,493,511,"33,957","33,746","33,208",106,121,111,153,156,190,688,715,788,7,4,5,48,37,57
Dickinson County,"25,570","25,439","25,373",381,399,414,"24,584","24,356","24,249",157,158,157,157,166,155,324,236,237,0,0,0,56,102,80
Eaton County,"109,155","109,456","109,730","5,793","5,901","6,042","94,291","94,564","94,098","7,225","7,435","7,707","2,535","2,552","2,620",533,647,575,43,32,22,"1,548","1,299","1,379"
Emmet County,"33,039","33,104","33,175",532,549,602,"30,478","30,573","30,043",229,246,236,185,205,179,958,959,851,30,30,27,112,71,369
Genesee County,"409,361","407,875","406,770","13,797","14,027","14,566","306,623","304,896","300,429","81,213","81,062","80,729","4,253","4,211","3,964","1,510","1,393","1,311",130,127,117,"2,051","2,088","3,393"
Gladwin County,"25,289","25,279","25,312",397,428,462,"24,563","24,513","24,447",89,78,93,125,131,127,168,136,119,0,0,0,43,42,43
Gogebic County,"15,414","15,061","14,715",207,220,235,"13,942","13,708","13,470",701,582,463,54,82,78,414,392,399,23,12,31,29,12,18
Grand Traverse County,"91,746","92,181","92,640","2,584","2,639","2,731","86,964","87,402","87,521",982,835,711,530,537,549,997,883,701,44,32,101,394,342,425
Gratiot County,"41,067","40,916","40,692","2,454","2,498","2,580","37,353","37,227","36,688","2,313","2,346","2,424",156,183,167,211,242,131,23,30,20,126,92,124
