County Name,Total Population (2018),Total Population (2019),Total Population (2020)
Alcona County,"10,364","10,353","10,396"
Alger County,"9,194","9,151","9,098"
Allegan County,"115,250","116,143","117,104"
Alpena County,"28,612","28,520","28,431"
Antrim County,"23,177","23,206","23,301"
Arenac County,"15,165","15,070","15,013"
Baraga County,"8,507","8,421","8,337"
Barry County,"60,057","60,540","61,045"
Bay County,"104,786","104,104","103,506"
Benzie County,"17,552","17,615","17,703"
Berrien County,"154,807","154,133","153,797"
Branch County,"43,584","43,513","43,428"
Calhoun County,"134,473","134,212","133,943"
Cass County,"51,460","51,523","51,613"
Charlevoix County,"26,219","26,188","26,197"
Cheboygan County,"25,458","25,418","25,435"
Chippewa County,"37,834","37,629","37,418"
Clare County,"30,616","30,651","30,655"
Clinton County,"77,896","78,389","78,957"
Crawford County,"13,836","13,892","13,904"
Delta County,"36,190","36,026","35,874"
Dickinson County,"25,570","25,439","25,373"
Eaton County,"109,155","109,456","109,730"
Emmet County,"33,039","33,104","33,175"
Genesee County,"409,361","407,875","406,770"
Gladwin County,"25,289","25,279","25,312"
Gogebic County,"15,414","15,061","14,715"
Grand Traverse County,"91,746","92,181","92,640"
Gratiot County,"41,067","40,916","40,692"
Hillsdale County,"45,830","45,757","45,707"
Houghton County,"36,360","36,070","35,890"
Huron County,"31,543","31,349","31,105"
Ingham County,"289,564","290,587","290,923"
Ionia County,"64,176","64,300","64,401"
Iosco County,"25,247","25,197","25,213"
Iron County,"11,212","11,152","11,099"
Isabella County,"70,775","70,688","70,363"
Jackson County,"158,913","158,636","158,174"
Kalamazoo County,"261,573","262,745","264,322"
Kalkaska County,"17,463","17,585","17,725"
Kent County,"643,140","648,121","652,617"
Keweenaw County,"2,130","2,111","2,102"
Lake County,"11,763","11,852","11,805"
Lapeer County,"88,202","88,038","87,975"
Leelanau County,"21,639","21,652","21,649"
Lenawee County,"98,474","98,381","98,310"
Livingston County,"188,482","189,754","190,832"
Luce County,"6,364","6,338","6,286"
Mackinac County,"10,817","10,780","10,781"
Macomb County,"868,704","870,325","870,893"
Manistee County,"24,444","24,457","24,539"
Marquette County,"66,939","66,686","66,403"
Mason County,"28,884","28,954","29,062"
Mecosta County,"43,264","43,251","43,481"
Menominee County,"23,234","23,074","22,902"
Midland County,"83,389","83,355","83,445"
Missaukee County,"15,006","15,028","15,075"
Monroe County,"149,699","149,727","150,000"
Montcalm County,"63,209","63,413","63,516"
Montmorency County,"9,261","9,265","9,270"
Muskegon County,"173,043","173,297","173,679"
Newaygo County,"48,142","48,366","48,687"
Oakland County,"1,250,843","1,253,185","1,255,340"
Oceana County,"26,417","26,416","26,545"
Ogemaw County,"20,928","20,898","20,895"
Ontonagon County,"5,968","5,877","5,802"
Osceola County,"23,232","23,290","23,323"
Oscoda County,"8,277","8,248","8,282"
Otsego County,"24,397","24,490","24,613"
Ottawa County,"284,034","286,558","289,162"
Presque Isle County,"12,797","12,714","12,687"
Roscommon County,"23,877","23,851","23,863"
Saginaw County,"192,778","191,821","191,166"
St. Clair County,"159,566","159,247","159,285"
St. Joseph County,"60,897","60,836","60,789"
Sanilac County,"41,376","41,295","41,179"
Schoolcraft County,"8,069","8,048","8,031"
Shiawassee County,"68,493","68,340","68,176"
Tuscola County,"53,250","52,939","52,683"
Van Buren County,"75,272","75,358","75,416"
Washtenaw County,"365,961","367,000","368,385"
Wayne County,"1,761,382","1,757,299","1,753,059"
Wexford County,"33,111","33,256","33,433"
