FIPSCODE,FIPSNUM
001,1
003,3
005,5
007,7
009,9
011,11
013,13
015,15
017,17
019,19
021,21
023,23
025,25
027,27
029,29
031,31
033,33
035,35
037,37
039,39
041,41
043,43
045,45
047,47
049,49
051,51
053,53
055,55
057,57
059,59
061,61
063,63
065,65
067,67
069,69
071,71
073,73
075,75
077,77
079,79
081,81
083,83
085,85
087,87
089,89
091,91
093,93
095,95
097,97
099,99
101,101
103,103
105,105
107,107
109,109
111,111
113,113
115,115
117,117
119,119
121,121
123,123
125,125
127,127
129,129
131,131
133,133
135,135
137,137
139,139
141,141
143,143
145,145
147,147
149,149
151,151
153,153
155,155
157,157
159,159
161,161
163,163
165,165
